monthly,country_name,Approval_Smoothed,Approval_Not_Smoothed,app_marginals_obs,Disapproval_Smoothed,Disapproval_Not_Smoothed,neg_marginals_obs,Country,ccodecow,wb_code
1961m2,United Kingdom,46.060001,45.97501,2,37.525501,37.869499,2,United Kingdom,200,GBR
1948m1,United Kingdom,38.507622,38.680149,2,,,,United Kingdom,200,GBR
1985m6,United Kingdom,33.07246,33.306351,5,56.464581,56.198811,5,United Kingdom,200,GBR
2008m5,United Kingdom,23.50514,23.127529,4,66.984932,67.716568,3,United Kingdom,200,GBR
1992m8,United Kingdom,32.49696,31.936871,3,56.274731,57.010448,3,United Kingdom,200,GBR
2013m8,United Kingdom,33.619148,33.76968,6,57.787949,57.602348,6,United Kingdom,200,GBR
2010m7,United Kingdom,46.159828,46.000141,4,37.349239,38.301521,4,United Kingdom,200,GBR
1943m3,United Kingdom,59.683659,59.636108,0,,,,United Kingdom,200,GBR
1983m12,United Kingdom,38.260422,38.104549,3,50.233349,50.37067,3,United Kingdom,200,GBR
1942m10,United Kingdom,55.85738,55.894581,1,,,,United Kingdom,200,GBR
2001m9,United Kingdom,51.181389,52.56163,2,36.215271,34.780231,2,United Kingdom,200,GBR
2019m5,United Kingdom,15.6672,15.77722,1,79.522308,79.157593,1,United Kingdom,200,GBR
2009m6,United Kingdom,24.83836,24.80941,3,67.558243,67.371384,3,United Kingdom,200,GBR
1958m1,United Kingdom,37.805759,38.170231,2,,,,United Kingdom,200,GBR
1971m4,United Kingdom,36.920971,37.384449,4,47.587971,46.941479,4,United Kingdom,200,GBR
1999m2,United Kingdom,46.153118,46.067501,4,41.498508,41.826881,4,United Kingdom,200,GBR
1991m9,United Kingdom,39.3549,39.637009,4,46.668179,46.47382,4,United Kingdom,200,GBR
1982m8,United Kingdom,40.723141,40.484852,5,47.153419,47.456089,5,United Kingdom,200,GBR
1970m3,United Kingdom,35.230679,35.363731,4,51.446388,51.308788,4,United Kingdom,200,GBR
2010m3,United Kingdom,30.6026,30.57147,2,60.712318,60.906582,2,United Kingdom,200,GBR
1957m12,United Kingdom,35.947788,36.153252,0,,,,United Kingdom,200,GBR
1984m12,United Kingdom,36.434132,36.10886,5,52.108849,52.52161,5,United Kingdom,200,GBR
2012m10,United Kingdom,30.574671,30.57181,6,61.5285,61.570381,6,United Kingdom,200,GBR
1986m1,United Kingdom,31.34165,30.980101,5,57.632462,57.990841,5,United Kingdom,200,GBR
1969m1,United Kingdom,29.19557,29.667509,4,58.908291,58.283138,4,United Kingdom,200,GBR
1969m2,United Kingdom,28.730511,28.745319,4,58.699409,58.535591,4,United Kingdom,200,GBR
1975m10,United Kingdom,34.37405,34.433289,4,53.427158,53.547192,4,United Kingdom,200,GBR
1996m6,United Kingdom,25.34197,25.63884,4,64.236343,63.725079,4,United Kingdom,200,GBR
1954m1,United Kingdom,46.111931,46.2822,1,,,,United Kingdom,200,GBR
1978m2,United Kingdom,41.382069,41.332241,3,43.888809,43.9949,3,United Kingdom,200,GBR
1942m8,United Kingdom,55.236698,55.39513,1,,,,United Kingdom,200,GBR
1976m7,United Kingdom,34.786121,35.342529,4,44.92107,44.652309,4,United Kingdom,200,GBR
2004m6,United Kingdom,29.978069,29.939131,3,58.651829,58.829559,3,United Kingdom,200,GBR
1954m9,United Kingdom,44.204281,44.223991,0,,,,United Kingdom,200,GBR
1967m1,United Kingdom,40.167858,40.264332,3,46.78281,46.542641,3,United Kingdom,200,GBR
2000m12,United Kingdom,38.045189,38.27232,4,51.098301,50.842869,4,United Kingdom,200,GBR
2009m5,United Kingdom,25.68256,25.16221,3,67.410492,68.197693,3,United Kingdom,200,GBR
2009m8,United Kingdom,27.467661,27.836149,2,64.614487,64.02935,2,United Kingdom,200,GBR
1996m7,United Kingdom,24.423901,24.39217,3,65.253326,65.204269,3,United Kingdom,200,GBR
1995m6,United Kingdom,23.27989,23.62151,4,67.999863,67.537979,4,United Kingdom,200,GBR
2011m8,United Kingdom,34.23737,34.314499,5,54.388859,54.137589,5,United Kingdom,200,GBR
2002m4,United Kingdom,40.151829,40.675491,2,47.522079,46.819199,2,United Kingdom,200,GBR
1978m9,United Kingdom,39.312191,39.208809,5,47.41898,47.78051,5,United Kingdom,200,GBR
1965m7,United Kingdom,39.328159,39.455791,4,43.838181,43.480999,4,United Kingdom,200,GBR
